Company Name,Model Name,Mobile Weight,RAM,Front Camera,Back Camera,Processor,Battery Capacity,Screen Size,Launched Price (Pakistan),Launched Price (India),Launched Price (China),Launched Price (USA),Launched Price (Dubai),Launched Year
iQOO,Find 9GB,239,6,32MP,48MP + 64MP + 48MP,Qualcomm Snapdragon,4484,6.7 inches,283291,151088,9442,1321,4909,2020
Sony,Pad 23GB,510,16,8MP,13MP,Snapdragon,4678,6.7 inches,54198,29395,2020,256,917,2024
Samsung,Galaxy 86GB,234,12,12MP,200MP + 12MP,Qualcomm Snapdragon,5625,6.5 inches,422410,98468,7039,1125,4598,2024
Honor,Find 28GB,239,12,32MP,48MP + 64MP + 48MP,Exynos,6627,7.0 inches,334494,178396,11148,1559,5796,2025
POCO,Pad 92GB,510,4,8MP,13MP,Unisoc,6302,10.4 inches,54965,29811,2048,259,930,2020
Lenovo,Find 77GB,239,4,32MP,48MP + 64MP + 48MP,Google Tensor,4282,12.9 inches,300966,160514,10031,1403,5215,2025
Xiaomi,Pad 97GB,510,8,8MP,13MP,Google Tensor,7779,12.9 inches,55869,30301,2082,264,946,2022
OnePlus,Pad 62GB,510,4,8MP,13MP,MediaTek,7659,7.0 inches,62473,33883,2328,295,1057,2025
Samsung,Galaxy 56GB,234,4,12MP,200MP + 12MP,Dimensity,3698,6.1 inches,450361,104984,7505,1199,4902,2021
Nokia,Find 96GB,239,4,32MP,48MP + 64MP + 48MP,Dimensity,6474,10.4 inches,302783,161483,10091,1411,5247,2021
Apple,iPhone 68GB,174,8,12MP,48MP,Dimensity,6255,6.7 inches,240403,85476,6196,853,2990,2020
iQOO,Pad 98GB,510,8,8MP,13MP,Google Tensor,6582,6.1 inches,55826,30278,2080,263,945,2020
Huawei,Find 20GB,239,12,32MP,48MP + 64MP + 48MP,Unisoc,4369,6.7 inches,286378,152735,9545,1335,4962,2022
Samsung,Galaxy 40GB,234,6,12MP,200MP + 12MP,Snapdragon,5919,6.1 inches,428543,99898,7141,1141,4665,2022
Sony,Pad 31GB,510,6,8MP,13MP,Google Tensor,3262,7.0 inches,67533,36627,2517,319,1143,2021
POCO,Pad 1GB,510,12,8MP,13MP,Snapdragon,7548,7.8 inches,53489,29010,1993,252,905,2022
Samsung,Galaxy 48GB,234,8,12MP,200MP + 12MP,MediaTek,7499,10.4 inches,469174,109369,7818,1250,5107,2020
Samsung,Find 36GB,239,12,32MP,48MP + 64MP + 48MP,Kirin,3253,6.7 inches,339610,181125,11319,1583,5885,2025
Infinix,Pad 82GB,510,6,8MP,13MP,Kirin,5869,6.7 inches,54118,29352,2017,255,916,2024
Samsung,Pad 21GB,510,12,8MP,13MP,Dimensity,4527,12.9 inches,61788,33512,2302,292,1046,2022
Samsung,Galaxy 86GB,234,16,12MP,200MP + 12MP,Snapdragon,3562,10.4 inches,441143,102835,7351,1175,4802,2022
Oppo,Pad 28GB,510,4,8MP,13MP,Snapdragon,7548,7.0 inches,58984,31991,2198,278,998,2024
Apple,iPhone 49GB,174,4,12MP,48MP,Qualcomm Snapdragon,4243,10.4 inches,210119,74708,5415,746,2613,2024
Apple,iPhone 37GB,174,16,12MP,48MP,Kirin,3301,7.8 inches,257421,91526,6634,914,3202,2022
Samsung,Galaxy 85GB,234,4,12MP,200MP + 12MP,Google Tensor,6327,6.7 inches,457668,106687,7626,1219,4982,2021
Apple,iPhone 67GB,174,6,12MP,48MP,Apple A17,7014,10.4 inches,208405,74099,5371,740,2592,2021
Apple,iPhone 17GB,174,4,12MP,48MP,Snapdragon,7341,12.9 inches,211263,75115,5444,750,2628,2024
Apple,iPhone 25GB,174,16,12MP,48MP,MediaTek Helio,5950,6.1 inches,245133,87157,6317,870,3049,2023
iQOO,Find 14GB,239,12,32MP,48MP + 64MP + 48MP,Spreadtrum,4166,7.0 inches,263457,140510,8781,1228,4565,2021
Apple,iPhone 51GB,174,4,12MP,48MP,Kirin,6769,12.9 inches,210590,74876,5427,747,2619,2025
Apple,iPhone 49GB,174,12,12MP,48MP,Unisoc,7777,10.4 inches,227502,80888,5863,807,2830,2025
Xiaomi,Pad 53GB,510,12,8MP,13MP,Spreadtrum,6051,7.0 inches,58242,31588,2170,275,986,2024
Google,Pad 94GB,510,8,8MP,13MP,Snapdragon,7364,6.5 inches,62797,34059,2340,296,1063,2023
iQOO,Find 63GB,239,8,32MP,48MP + 64MP + 48MP,Kirin,6675,6.5 inches,257280,137215,8575,1199,4458,2021
OnePlus,Pad 9GB,510,12,8MP,13MP,MediaTek Dimensity,4012,6.1 inches,66348,35984,2472,313,1123,2021
Apple,iPhone 48GB,174,4,12MP,48MP,MediaTek Helio,7583,7.8 inches,234332,83317,6039,832,2915,2024
Oppo,Find 63GB,239,16,32MP,48MP + 64MP + 48MP,Qualcomm MSM8916,5294,6.7 inches,305942,163168,10197,1426,5301,2023
iQOO,Find 57GB,239,16,32MP,48MP + 64MP + 48MP,MediaTek,7045,7.0 inches,263473,140518,8781,1228,4566,2024
Apple,iPhone 69GB,174,12,12MP,48MP,MediaTek,5959,6.5 inches,224433,79797,5784,796,2791,2021
Google,Find 94GB,239,16,32MP,48MP + 64MP + 48MP,Google Tensor,5070,6.5 inches,340421,181557,11346,1587,5899,2021
Apple,iPhone 95GB,174,6,12MP,48MP,MediaTek,6730,6.5 inches,227656,80944,5867,808,2832,2020
Oppo,Find 92GB,239,8,32MP,48MP + 64MP + 48MP,Dimensity,3851,7.0 inches,306602,163520,10219,1429,5313,2021
Samsung,Galaxy 51GB,234,8,12MP,200MP + 12MP,Google Tensor,6913,6.7 inches,419484,97786,6990,1117,4566,2023
Apple,iPhone 2GB,174,16,12MP,48MP,MediaTek Helio,5546,6.5 inches,213966,76076,5514,759,2661,2022
POCO,Pad 74GB,510,6,8MP,13MP,MediaTek,6069,6.5 inches,55137,29904,2055,260,933,2022
Motorola,Pad 75GB,510,16,8MP,13MP,MediaTek Dimensity,3728,7.8 inches,55141,29906,2055,260,933,2024
Motorola,Find 24GB,239,8,32MP,48MP + 64MP + 48MP,Dimensity,4122,7.0 inches,277500,147999,9249,1294,4809,2021
Apple,iPhone 96GB,174,16,12MP,48MP,Apple A15,6851,6.1 inches,241192,85756,6216,856,3000,2024
OnePlus,Find 17GB,239,4,32MP,48MP + 64MP + 48MP,MediaTek Helio,3595,6.1 inches,281786,150285,9391,1314,4883,2025
Huawei,Find 12GB,239,16,32MP,48MP + 64MP + 48MP,Qualcomm MSM8916,7171,6.1 inches,340504,181601,11349,1587,5900,2023
Apple,iPhone 16GB,174,16,12MP,48MP,Exynos,6140,6.7 inches,213433,75887,5500,757,2655,2023
Realme,Find 53GB,239,4,32MP,48MP + 64MP + 48MP,Qualcomm MSM8916,4062,7.8 inches,299496,159731,9982,1396,5190,2024
Lenovo,Find 5GB,239,8,32MP,48MP + 64MP + 48MP,Snapdragon,3732,6.7 inches,265535,141618,8850,1238,4601,2022
Vivo,Pad 58GB,510,12,8MP,13MP,Dimensity,6324,10.4 inches,62556,33928,2331,295,1059,2025
Apple,Pad 27GB,510,6,8MP,13MP,Apple A16,4217,7.8 inches,51650,28013,1925,244,874,2024
Samsung,Galaxy 86GB,234,12,12MP,200MP + 12MP,Spreadtrum,4680,12.9 inches,462404,107791,7705,1232,5034,2020
Apple,iPhone 31GB,174,8,12MP,48MP,MediaTek,5923,10.4 inches,208037,73968,5361,738,2588,2022
Apple,iPhone 67GB,174,16,12MP,48MP,Apple A12,7748,6.5 inches,229823,81714,5923,816,2859,2023
Samsung,Galaxy 39GB,234,4,12MP,200MP + 12MP,MediaTek Helio,4996,7.0 inches,436530,101760,7274,1163,4752,2025
Samsung,Galaxy 56GB,234,4,12MP,200MP + 12MP,Apple A15,3133,6.5 inches,514516,119939,8574,1370,5601,2023
Samsung,Galaxy 21GB,234,16,12MP,200MP + 12MP,MediaTek Dimensity,7298,7.0 inches,416653,97126,6943,1110,4535,2024
OnePlus,Find 47GB,239,4,32MP,48MP + 64MP + 48MP,MediaTek Dimensity,6376,10.4 inches,311479,166121,10381,1452,5397,2020
Apple,iPhone 87GB,174,4,12MP,48MP,Dimensity,4353,10.4 inches,198455,70561,5114,704,2468,2023
Apple,Find 36GB,239,6,32MP,48MP + 64MP + 48MP,Apple A17,6719,6.5 inches,307528,164014,10249,1434,5329,2023
Samsung,Galaxy 64GB,234,8,12MP,200MP + 12MP,MediaTek Dimensity,5508,7.0 inches,400479,93356,6673,1067,4359,2024
Google,Find 82GB,239,8,32MP,48MP + 64MP + 48MP,MediaTek Dimensity,3255,7.8 inches,292640,156074,9753,1364,5071,2020
Apple,iPhone 5GB,174,4,12MP,48MP,Unisoc,7469,6.1 inches,257889,91693,6646,915,3208,2021
Samsung,Galaxy 26GB,234,4,12MP,200MP + 12MP,Exynos,6925,6.7 inches,459325,107073,7654,1223,5000,2022
Oppo,Pad 99GB,510,4,8MP,13MP,Kirin,3404,12.9 inches,62392,33839,2325,295,1056,2025
Samsung,Galaxy 3GB,234,16,12MP,200MP + 12MP,MediaTek Dimensity,6636,7.8 inches,497202,115903,8285,1324,5412,2021
Oppo,Pad 73GB,510,4,8MP,13MP,Qualcomm MSM8916,7146,7.8 inches,53817,29188,2005,254,911,2024
iQOO,Pad 32GB,510,6,8MP,13MP,Google Tensor,6419,12.9 inches,58966,31981,2197,278,998,2021
Nokia,Pad 50GB,510,12,8MP,13MP,Qualcomm Snapdragon,4984,10.4 inches,60077,32583,2239,284,1017,2023
Oppo,Find 17GB,239,16,32MP,48MP + 64MP + 48MP,MediaTek Helio,6981,6.5 inches,274165,146221,9137,1278,4751,2022
Apple,iPhone 50GB,174,6,12MP,48MP,MediaTek Dimensity,4358,6.7 inches,252279,89698,6502,895,3138,2022
Apple,Pad 97GB,510,12,8MP,13MP,Apple A13,7637,12.9 inches,65412,35477,2438,309,1107,2021
iQOO,Pad 10GB,510,4,8MP,13MP,Dimensity,5832,7.0 inches,58275,31606,2172,275,986,2023
Honor,Pad 66GB,510,16,8MP,13MP,Qualcomm Snapdragon,6818,6.7 inches,51491,27927,1919,243,871,2022
Samsung,Galaxy 80GB,234,8,12MP,200MP + 12MP,Google Tensor,6445,7.0 inches,429165,100043,7151,1143,4672,2023
Samsung,Galaxy 93GB,234,6,12MP,200MP + 12MP,Exynos,7156,6.5 inches,388017,90451,6466,1033,4224,2022
Vivo,Find 42GB,239,16,32MP,48MP + 64MP + 48MP,Qualcomm MSM8916,3523,6.5 inches,287783,153483,9591,1342,4987,2025
POCO,Pad 27GB,510,4,8MP,13MP,Google Tensor,5296,12.9 inches,62322,33801,2322,294,1055,2020
Nokia,Pad 63GB,510,16,8MP,13MP,Exynos,7432,6.5 inches,64418,34938,2401,304,1090,2023
Samsung,Galaxy 52GB,234,6,12MP,200MP + 12MP,Unisoc,7123,12.9 inches,444942,103720,7414,1185,4843,2025
OnePlus,Find 59GB,239,8,32MP,48MP + 64MP + 48MP,Qualcomm MSM8916,4646,12.9 inches,322464,171980,10747,1503,5588,2025
Samsung,Pad 38GB,510,8,8MP,13MP,MediaTek,4906,12.9 inches,63201,34278,2355,298,1070,2020
Infinix,Pad 57GB,510,4,8MP,13MP,MediaTek Dimensity,3125,7.0 inches,65911,35747,2456,311,1116,2020
Oppo,Pad 10GB,510,8,8MP,13MP,Spreadtrum,3232,7.8 inches,51687,28033,1926,244,875,2021
Apple,iPhone 8GB,174,4,12MP,48MP,Qualcomm MSM8916,5472,7.8 inches,251975,89590,6494,894,3134,2025
Honor,Pad 56GB,510,8,8MP,13MP,Unisoc,3876,10.4 inches,66675,36162,2485,315,1128,2024
Lenovo,Pad 70GB,510,12,8MP,13MP,MediaTek Helio,6421,6.7 inches,55195,29935,2057,261,934,2025
Samsung,Galaxy 3GB,234,8,12MP,200MP + 12MP,Kirin,5590,7.8 inches,517129,120548,8617,1377,5629,2023
Apple,iPhone 92GB,174,8,12MP,48MP,Kirin,3003,12.9 inches,257065,91400,6625,912,3197,2025
Huawei,Pad 62GB,510,4,8MP,13MP,MediaTek,7289,12.9 inches,60266,32686,2246,284,1020,2022
Motorola,Find 5GB,239,6,32MP,48MP + 64MP + 48MP,MediaTek,4141,7.0 inches,272954,145575,9097,1272,4730,2022
Apple,Pad 47GB,510,4,8MP,13MP,Apple A14,7749,10.4 inches,59107,32057,2203,279,1000,2024
Samsung,Galaxy 3GB,234,4,12MP,200MP + 12MP,Qualcomm Snapdragon,3901,6.5 inches,456561,106429,7608,1216,4970,2021
Vivo,Pad 40GB,510,6,8MP,13MP,Snapdragon,4619,6.1 inches,50197,27225,1870,237,849,2024
Samsung,Galaxy 24GB,234,8,12MP,200MP + 12MP,Kirin,6677,12.9 inches,497348,115937,8288,1325,5414,2020
Apple,iPhone 75GB,174,4,12MP,48MP,MediaTek Dimensity,5635,6.7 inches,253784,90233,6540,901,3157,2022
Apple,iPhone 64GB,174,16,12MP,48MP,Google Tensor,6850,6.1 inches,204858,72838,5279,727,2548,2024
OnePlus,Find 37GB,239,16,32MP,48MP + 64MP + 48MP,Qualcomm MSM8916,5898,6.7 inches,302074,161106,10068,1408,5234,2025
Samsung,Galaxy 42GB,234,4,12MP,200MP + 12MP,Qualcomm MSM8916,5449,12.9 inches,503955,117477,8398,1342,5486,2025
Oppo,Pad 23GB,510,4,8MP,13MP,MediaTek Dimensity,5712,6.1 inches,57078,30957,2127,269,966,2020
Motorola,Pad 51GB,510,8,8MP,13MP,MediaTek Dimensity,3197,10.4 inches,61259,33224,2283,289,1037,2022
Apple,iPhone 15GB,174,16,12MP,48MP,Qualcomm MSM8916,5035,10.4 inches,244479,86925,6301,868,3041,2022
Infinix,Find 27GB,239,4,32MP,48MP + 64MP + 48MP,Snapdragon,5243,10.4 inches,323620,172596,10786,1509,5608,2021
Samsung,Find 38GB,239,16,32MP,48MP + 64MP + 48MP,MediaTek Dimensity,7910,7.0 inches,266473,142118,8881,1242,4617,2024
Samsung,Galaxy 8GB,234,16,12MP,200MP + 12MP,Apple A13,6228,12.9 inches,480004,111894,7999,1278,5225,2023
Lenovo,Find 36GB,239,12,32MP,48MP + 64MP + 48MP,Qualcomm MSM8916,3793,6.7 inches,286111,152592,9536,1334,4958,2022
Apple,iPhone 38GB,174,6,12MP,48MP,MediaTek,5349,6.7 inches,252798,89883,6515,897,3144,2023
Apple,iPhone 89GB,174,4,12MP,48MP,Unisoc,4639,7.0 inches,254166,90369,6550,902,3161,2022
Vivo,Pad 37GB,510,6,8MP,13MP,Dimensity,6056,7.0 inches,51369,27860,1914,242,869,2021
Oppo,Find 40GB,239,4,32MP,48MP + 64MP + 48MP,Qualcomm Snapdragon,6797,6.7 inches,265190,141434,8838,1236,4595,2020
Vivo,Find 36GB,239,4,32MP,48MP + 64MP + 48MP,Dimensity,6072,12.9 inches,301694,160903,10055,1406,5228,2025
Samsung,Galaxy 47GB,234,4,12MP,200MP + 12MP,Exynos,4332,6.1 inches,490885,114430,8180,1307,5344,2021
Google,Pad 35GB,510,12,8MP,13MP,Kirin,3536,6.5 inches,66485,36059,2478,314,1125,2022
Nokia,Find 34GB,239,8,32MP,48MP + 64MP + 48MP,MediaTek Helio,6600,6.7 inches,295718,157716,9856,1379,5124,2022
Apple,iPhone 25GB,174,12,12MP,48MP,Qualcomm MSM8916,7805,7.8 inches,215710,76696,5559,766,2683,2020
Apple,iPhone 26GB,174,12,12MP,48MP,Qualcomm MSM8916,6120,12.9 inches,256121,91064,6601,909,3186,2020
Sony,Find 92GB,239,16,32MP,48MP + 64MP + 48MP,Spreadtrum,7422,6.1 inches,290757,155070,9690,1355,5038,2024
Apple,iPhone 83GB,174,16,12MP,48MP,MediaTek Helio,6376,7.8 inches,223113,79328,5750,792,2775,2024
Apple,iPhone 1GB,174,8,12MP,48MP,Dimensity,6057,6.5 inches,221000,78577,5695,784,2749,2025
Apple,iPhone 51GB,174,12,12MP,48MP,MediaTek Helio,6335,7.8 inches,216447,76958,5578,768,2692,2022
Apple,iPhone 34GB,174,12,12MP,48MP,Exynos,7064,12.9 inches,247934,88153,6390,880,3084,2023
Oppo,Find 65GB,239,4,32MP,48MP + 64MP + 48MP,MediaTek Helio,5806,6.7 inches,300494,160263,10015,1401,5207,2022
Honor,Pad 67GB,510,8,8MP,13MP,Qualcomm Snapdragon,6675,12.9 inches,64402,34929,2400,304,1090,2021
Apple,iPhone 46GB,174,8,12MP,48MP,MediaTek Dimensity,6983,7.0 inches,236344,84032,6091,839,2940,2023
Xiaomi,Pad 55GB,510,6,8MP,13MP,Dimensity,7425,12.9 inches,53828,29194,2006,254,911,2020
Samsung,Galaxy 36GB,234,16,12MP,200MP + 12MP,Exynos,7177,6.5 inches,492854,114889,8213,1313,5365,2020
Apple,iPhone 2GB,174,8,12MP,48MP,Qualcomm MSM8916,7566,12.9 inches,247318,87934,6374,878,3076,2023
POCO,Find 94GB,239,4,32MP,48MP + 64MP + 48MP,Dimensity,6577,10.4 inches,267609,142724,8919,1247,4637,2023
Apple,iPhone 59GB,174,4,12MP,48MP,Spreadtrum,6953,6.7 inches,209384,74447,5396,743,2604,2020
Vivo,Pad 25GB,510,4,8MP,13MP,Google Tensor,4301,6.7 inches,67572,36649,2518,319,1144,2025
Google,Find 98GB,239,16,32MP,48MP + 64MP + 48MP,MediaTek,3074,10.4 inches,302668,161422,10087,1411,5245,2021
Huawei,Pad 34GB,510,4,8MP,13MP,Qualcomm Snapdragon,7683,12.9 inches,50343,27304,1876,238,852,2024
Samsung,Galaxy 31GB,234,8,12MP,200MP + 12MP,Kirin,7263,6.5 inches,467968,109088,7798,1246,5094,2023
Nokia,Find 45GB,239,4,32MP,48MP + 64MP + 48MP,Qualcomm Snapdragon,5969,7.8 inches,324380,173002,10811,1512,5621,2023
Apple,iPhone 54GB,174,8,12MP,48MP,Google Tensor,6776,6.7 inches,231961,82474,5978,823,2885,2024
Oppo,Find 11GB,239,8,32MP,48MP + 64MP + 48MP,Qualcomm Snapdragon,4136,6.7 inches,340436,181565,11346,1587,5899,2022
Apple,iPhone 22GB,174,16,12MP,48MP,Qualcomm MSM8916,4785,7.0 inches,202185,71887,5211,717,2515,2023
Samsung,Galaxy 62GB,234,8,12MP,200MP + 12MP,Snapdragon,7460,6.7 inches,466649,108781,7776,1243,5080,2021
Tecno,Find 73GB,239,4,32MP,48MP + 64MP + 48MP,Snapdragon,4240,7.8 inches,308844,164716,10293,1440,5352,2022
Samsung,Galaxy 3GB,234,6,12MP,200MP + 12MP,Qualcomm MSM8916,4252,7.0 inches,513139,119618,8551,1367,5586,2023
Apple,iPhone 19GB,174,16,12MP,48MP,Dimensity,6115,6.7 inches,256190,91089,6602,909,3187,2022
Samsung,Pad 55GB,510,4,8MP,13MP,Kirin,7107,10.4 inches,63109,34228,2352,298,1068,2022
Samsung,Galaxy 80GB,234,4,12MP,200MP + 12MP,Unisoc,6726,6.7 inches,389465,90788,6490,1037,4239,2021
Apple,iPhone 10GB,174,4,12MP,48MP,Unisoc,6990,6.5 inches,223190,79356,5752,792,2776,2024
Tecno,Find 7GB,239,4,32MP,48MP + 64MP + 48MP,Dimensity,5930,6.5 inches,339982,181323,11331,1585,5891,2022
Apple,iPhone 39GB,174,8,12MP,48MP,Apple A18,7497,6.7 inches,234755,83468,6050,833,2920,2021
Apple,iPhone 99GB,174,12,12MP,48MP,Dimensity,3130,7.8 inches,214190,76156,5520,760,2664,2022
Apple,iPhone 39GB,174,4,12MP,48MP,Dimensity,6587,7.8 inches,212764,75649,5483,755,2646,2025
Xiaomi,Pad 42GB,510,12,8MP,13MP,Spreadtrum,6521,12.9 inches,65549,35551,2443,309,1109,2022
Vivo,Find 13GB,239,16,32MP,48MP + 64MP + 48MP,Exynos,6810,6.7 inches,286563,152833,9551,1336,4966,2025
Apple,Find 62GB,239,16,32MP,48MP + 64MP + 48MP,Apple A15,7843,6.1 inches,343566,183234,11451,1602,5954,2023
Xiaomi,Pad 84GB,510,16,8MP,13MP,MediaTek,5624,10.4 inches,52104,28259,1942,246,882,2020
Apple,iPhone 68GB,174,6,12MP,48MP,MediaTek Helio,7388,6.1 inches,252696,89847,6512,897,3143,2020
Samsung,Galaxy 49GB,234,4,12MP,200MP + 12MP,MediaTek,3963,7.0 inches,510744,119060,8511,1360,5560,2022
Samsung,Galaxy 70GB,234,8,12MP,200MP + 12MP,MediaTek,4868,6.5 inches,482852,112558,8046,1286,5256,2020
Apple,iPhone 20GB,174,16,12MP,48MP,Dimensity,3884,6.7 inches,199371,70887,5138,707,2480,2024
Infinix,Find 90GB,239,4,32MP,48MP + 64MP + 48MP,MediaTek Dimensity,5800,6.5 inches,329357,175656,10977,1535,5707,2022
Infinix,Pad 47GB,510,4,8MP,13MP,Google Tensor,6170,7.0 inches,59442,32239,2215,281,1006,2021
Apple,Find 50GB,239,6,32MP,48MP + 64MP + 48MP,Apple A18 pro,5109,6.1 inches,328423,175158,10946,1531,5691,2022
Huawei,Pad 89GB,510,4,8MP,13MP,Dimensity,7675,10.4 inches,51768,28077,1929,244,876,2024
Samsung,Galaxy 92GB,234,16,12MP,200MP + 12MP,Apple A17 pro,4218,6.1 inches,498887,116296,8313,1329,5431,2021
OnePlus,Find 25GB,239,16,32MP,48MP + 64MP + 48MP,Dimensity,4418,6.7 inches,291759,155604,9724,1360,5056,2021
Apple,iPhone 5GB,174,6,12MP,48MP,MediaTek Dimensity,3913,10.4 inches,206111,73283,5312,731,2564,2024
Samsung,Galaxy 81GB,234,6,12MP,200MP + 12MP,Google Tensor,6111,7.8 inches,462475,107808,7706,1232,5034,2025
Apple,iPhone 40GB,174,6,12MP,48MP,Qualcomm MSM8916,6930,7.8 inches,240787,85612,6205,855,2995,2024
Apple,iPhone 40GB,174,12,12MP,48MP,Unisoc,4704,7.8 inches,207360,73727,5344,736,2579,2022
Xiaomi,Find 63GB,239,8,32MP,48MP + 64MP + 48MP,Dimensity,5469,7.0 inches,334277,178280,11141,1558,5793,2024
Nokia,Find 31GB,239,6,32MP,48MP + 64MP + 48MP,Kirin,5719,6.7 inches,321914,171687,10729,1501,5578,2024
Apple,iPhone 2GB,174,16,12MP,48MP,Snapdragon,5012,7.0 inches,210624,74887,5428,747,2620,2021
Oppo,Find 17GB,239,6,32MP,48MP + 64MP + 48MP,Snapdragon,7795,7.8 inches,266559,142164,8884,1243,4619,2022
Realme,Find 74GB,239,4,32MP,48MP + 64MP + 48MP,MediaTek Dimensity,4247,6.5 inches,311934,166364,10396,1454,5405,2023
Samsung,Find 22GB,239,12,32MP,48MP + 64MP + 48MP,Exynos,4887,7.0 inches,340255,181469,11340,1586,5896,2021
Google,Pad 22GB,510,4,8MP,13MP,Unisoc,3885,6.1 inches,61139,33159,2278,289,1035,2025
Apple,iPhone 14GB,174,16,12MP,48MP,Google Tensor,7811,7.0 inches,200029,71121,5155,710,2488,2022
Samsung,Galaxy 11GB,234,4,12MP,200MP + 12MP,Dimensity,6999,6.7 inches,474744,110668,7911,1264,5168,2022
Apple,iPhone 98GB,174,16,12MP,48MP,Kirin,3515,6.1 inches,221717,78832,5714,787,2758,2022
Samsung,Galaxy 29GB,234,16,12MP,200MP + 12MP,MediaTek,4098,7.0 inches,486831,113485,8112,1297,5299,2021
Google,Pad 27GB,510,8,8MP,13MP,Exynos,5896,10.4 inches,50703,27499,1889,239,858,2023
Samsung,Galaxy 80GB,234,16,12MP,200MP + 12MP,Qualcomm MSM8916,7026,7.0 inches,485112,113085,8084,1292,5281,2025
Samsung,Galaxy 1GB,234,6,12MP,200MP + 12MP,MediaTek,6963,10.4 inches,411269,95871,6853,1095,4477,2021
Samsung,Galaxy 24GB,234,12,12MP,200MP + 12MP,Kirin,4809,12.9 inches,446383,104056,7438,1189,4859,2023
Huawei,Pad 17GB,510,16,8MP,13MP,Qualcomm Snapdragon,6380,12.9 inches,65101,35308,2426,307,1102,2022
Samsung,Galaxy 93GB,234,12,12MP,200MP + 12MP,Qualcomm Snapdragon,3692,7.0 inches,465747,108570,7761,1240,5070,2021
OnePlus,Find 94GB,239,4,32MP,48MP + 64MP + 48MP,Snapdragon,6965,7.0 inches,293726,156653,9789,1369,5090,2023
Motorola,Pad 63GB,510,16,8MP,13MP,Dimensity,3116,6.5 inches,67571,36648,2518,319,1144,2022
Google,Pad 94GB,510,6,8MP,13MP,Qualcomm MSM8916,4389,12.9 inches,55311,29999,2061,261,936,2025
Samsung,Galaxy 41GB,234,8,12MP,200MP + 12MP,Spreadtrum,3213,6.7 inches,415176,96782,6918,1106,4519,2020
iQOO,Find 79GB,239,12,32MP,48MP + 64MP + 48MP,Kirin,5720,6.5 inches,284380,151669,9478,1326,4928,2021
Nokia,Find 77GB,239,4,32MP,48MP + 64MP + 48MP,MediaTek Dimensity,3917,12.9 inches,342970,182917,11431,1599,5943,2021
Apple,iPhone 15GB,174,6,12MP,48MP,MediaTek Helio,3105,12.9 inches,198307,70508,5111,704,2466,2023
Samsung,Galaxy 6GB,234,4,12MP,200MP + 12MP,Qualcomm MSM8916,6144,12.9 inches,478223,111479,7969,1274,5206,2020
