Company Name,Model Name,Mobile Weight,RAM,Front Camera,Back Camera,Processor,Battery Capacity,Screen Size,Launched Price (Pakistan),Launched Price (India),Launched Price (China),Launched Price (USA),Launched Price (Dubai),Launched Year
Samsung,Galaxy 56GB,234,4,12MP,200MP + 12MP,Apple A15,3133,6.5 inches,118735,27679,1979,317,1293,2023
Samsung,Galaxy 21GB,234,16,12MP,200MP + 12MP,MediaTek Dimensity,7298,7.0 inches,96151,22414,1603,257,1047,2024
OnePlus,Find 47GB,239,4,32MP,48MP + 64MP + 48MP,MediaTek Dimensity,6376,10.4 inches,71880,38336,2396,336,1246,2020
Samsung,Galaxy 64GB,234,8,12MP,200MP + 12MP,MediaTek Dimensity,5508,7.0 inches,92419,21544,1541,247,1007,2024
Google,Find 82GB,239,8,32MP,48MP + 64MP + 48MP,MediaTek Dimensity,3255,7.8 inches,67533,36018,2251,315,1171,2020
Samsung,Galaxy 26GB,234,4,12MP,200MP + 12MP,Exynos,6925,6.7 inches,105999,24710,1767,283,1155,2022
Oppo,Pad 99GB,510,4,8MP,13MP,Kirin,3404,12.9 inches,14399,7809,537,69,244,2025
Samsung,Galaxy 3GB,234,16,12MP,200MP + 12MP,MediaTek Dimensity,6636,7.8 inches,114740,26748,1913,306,1250,2021
Oppo,Pad 73GB,510,4,8MP,13MP,Qualcomm MSM8916,7146,7.8 inches,12420,6736,463,59,211,2024
iQOO,Pad 32GB,510,6,8MP,13MP,Google Tensor,6419,12.9 inches,13608,7381,507,65,231,2021
Nokia,Pad 50GB,510,12,8MP,13MP,Qualcomm Snapdragon,4984,10.4 inches,13865,7520,517,66,235,2023
Oppo,Find 17GB,239,16,32MP,48MP + 64MP + 48MP,MediaTek Helio,6981,6.5 inches,63270,33744,2109,296,1097,2022
iQOO,Pad 10GB,510,4,8MP,13MP,Dimensity,5832,7.0 inches,13449,7294,502,64,228,2023
Honor,Pad 66GB,510,16,8MP,13MP,Qualcomm Snapdragon,6818,6.7 inches,11883,6445,444,57,201,2022
Samsung,Galaxy 80GB,234,8,12MP,200MP + 12MP,Google Tensor,6445,7.0 inches,99039,23088,1651,264,1079,2023
Samsung,Galaxy 93GB,234,6,12MP,200MP + 12MP,Exynos,7156,6.5 inches,89543,20874,1493,239,975,2022
Vivo,Find 42GB,239,16,32MP,48MP + 64MP + 48MP,Qualcomm MSM8916,3523,6.5 inches,66412,35420,2214,310,1152,2025
POCO,Pad 27GB,510,4,8MP,13MP,Google Tensor,5296,12.9 inches,14382,7801,537,69,244,2020
Nokia,Pad 63GB,510,16,8MP,13MP,Exynos,7432,6.5 inches,14866,8063,555,71,252,2023
Samsung,Galaxy 52GB,234,6,12MP,200MP + 12MP,Unisoc,7123,12.9 inches,102680,23936,1712,274,1118,2025
OnePlus,Find 59GB,239,8,32MP,48MP + 64MP + 48MP,Qualcomm MSM8916,4646,12.9 inches,74415,39688,2481,348,1290,2025
Samsung,Pad 38GB,510,8,8MP,13MP,MediaTek,4906,12.9 inches,14586,7911,544,69,248,2020
Infinix,Pad 57GB,510,4,8MP,13MP,MediaTek Dimensity,3125,7.0 inches,15211,8250,567,72,258,2020
Oppo,Pad 10GB,510,8,8MP,13MP,Spreadtrum,3232,7.8 inches,11928,6470,445,57,203,2021
Honor,Pad 56GB,510,8,8MP,13MP,Unisoc,3876,10.4 inches,15387,8346,574,73,261,2024
Lenovo,Pad 70GB,510,12,8MP,13MP,MediaTek Helio,6421,6.7 inches,12738,6909,475,61,216,2025
Samsung,Galaxy 3GB,234,8,12MP,200MP + 12MP,Kirin,5590,7.8 inches,119338,27819,1989,318,1299,2023
Huawei,Pad 62GB,510,4,8MP,13MP,MediaTek,7289,12.9 inches,13908,7544,519,66,236,2022
Motorola,Find 5GB,239,6,32MP,48MP + 64MP + 48MP,MediaTek,4141,7.0 inches,62990,33595,2100,294,1092,2022
Samsung,Galaxy 3GB,234,4,12MP,200MP + 12MP,Qualcomm Snapdragon,3901,6.5 inches,105361,24561,1756,281,1148,2021
Vivo,Pad 40GB,510,6,8MP,13MP,Snapdragon,4619,6.1 inches,11585,6283,432,55,197,2024
Samsung,Galaxy 24GB,234,8,12MP,200MP + 12MP,Kirin,6677,12.9 inches,114773,26755,1913,306,1250,2020
OnePlus,Find 37GB,239,16,32MP,48MP + 64MP + 48MP,Qualcomm MSM8916,5898,6.7 inches,69710,37179,2324,326,1209,2025
Samsung,Galaxy 42GB,234,4,12MP,200MP + 12MP,Qualcomm MSM8916,5449,12.9 inches,116298,27111,1938,310,1266,2025
Oppo,Pad 23GB,510,4,8MP,13MP,MediaTek Dimensity,5712,6.1 inches,13173,7145,492,63,224,2020
Motorola,Pad 51GB,510,8,8MP,13MP,MediaTek Dimensity,3197,10.4 inches,14137,7668,528,67,240,2022
Infinix,Find 27GB,239,4,32MP,48MP + 64MP + 48MP,Snapdragon,5243,10.4 inches,74682,39831,2490,349,1295,2021
Samsung,Find 38GB,239,16,32MP,48MP + 64MP + 48MP,MediaTek Dimensity,7910,7.0 inches,61494,32797,2050,287,1066,2024
Samsung,Galaxy 8GB,234,16,12MP,200MP + 12MP,Apple A13,6228,12.9 inches,110771,25822,1847,296,1206,2023
Lenovo,Find 36GB,239,12,32MP,48MP + 64MP + 48MP,Qualcomm MSM8916,3793,6.7 inches,66026,35214,2201,309,1145,2022
Vivo,Pad 37GB,510,6,8MP,13MP,Dimensity,6056,7.0 inches,11855,6430,442,57,201,2021
Oppo,Find 40GB,239,4,32MP,48MP + 64MP + 48MP,Qualcomm Snapdragon,6797,6.7 inches,61198,32639,2040,286,1061,2020
Vivo,Find 36GB,239,4,32MP,48MP + 64MP + 48MP,Dimensity,6072,12.9 inches,69622,37132,2321,325,1207,2025
Samsung,Galaxy 47GB,234,4,12MP,200MP + 12MP,Exynos,4332,6.1 inches,113282,26408,1888,302,1234,2021
Google,Pad 35GB,510,12,8MP,13MP,Kirin,3536,6.5 inches,15343,8322,573,73,260,2022
Nokia,Find 34GB,239,8,32MP,48MP + 64MP + 48MP,MediaTek Helio,6600,6.7 inches,68243,36396,2275,319,1183,2022
Sony,Find 92GB,239,16,32MP,48MP + 64MP + 48MP,Spreadtrum,7422,6.1 inches,67098,35786,2237,313,1163,2024
Oppo,Find 65GB,239,4,32MP,48MP + 64MP + 48MP,MediaTek Helio,5806,6.7 inches,69345,36984,2312,324,1202,2022
Honor,Pad 67GB,510,8,8MP,13MP,Qualcomm Snapdragon,6675,12.9 inches,14862,8061,555,71,252,2021
Xiaomi,Pad 55GB,510,6,8MP,13MP,Dimensity,7425,12.9 inches,12423,6738,464,59,211,2020
Samsung,Galaxy 36GB,234,16,12MP,200MP + 12MP,Exynos,7177,6.5 inches,113736,26514,1896,303,1239,2020
POCO,Find 94GB,239,4,32MP,48MP + 64MP + 48MP,Dimensity,6577,10.4 inches,61757,32937,2059,288,1071,2023
Vivo,Pad 25GB,510,4,8MP,13MP,Google Tensor,4301,6.7 inches,15594,8458,582,74,264,2025
Google,Find 98GB,239,16,32MP,48MP + 64MP + 48MP,MediaTek,3074,10.4 inches,69847,37252,2328,326,1211,2021
Huawei,Pad 34GB,510,4,8MP,13MP,Qualcomm Snapdragon,7683,12.9 inches,11618,6302,434,56,197,2024
Samsung,Galaxy 31GB,234,8,12MP,200MP + 12MP,Kirin,7263,6.5 inches,107993,25175,1800,288,1176,2023
Nokia,Find 45GB,239,4,32MP,48MP + 64MP + 48MP,Qualcomm Snapdragon,5969,7.8 inches,74858,39924,2496,350,1298,2023
Oppo,Find 11GB,239,8,32MP,48MP + 64MP + 48MP,Qualcomm Snapdragon,4136,6.7 inches,78563,41900,2619,367,1362,2022
Samsung,Galaxy 62GB,234,8,12MP,200MP + 12MP,Snapdragon,7460,6.7 inches,107689,25104,1795,288,1173,2021
Tecno,Find 73GB,239,4,32MP,48MP + 64MP + 48MP,Snapdragon,4240,7.8 inches,71272,38012,2376,333,1236,2022
Samsung,Galaxy 3GB,234,6,12MP,200MP + 12MP,Qualcomm MSM8916,4252,7.0 inches,118417,27605,1974,316,1290,2023
Samsung,Pad 55GB,510,4,8MP,13MP,Kirin,7107,10.4 inches,14564,7899,543,69,247,2022
Samsung,Galaxy 80GB,234,4,12MP,200MP + 12MP,Unisoc,6726,6.7 inches,89877,20952,1498,240,979,2021
Tecno,Find 7GB,239,4,32MP,48MP + 64MP + 48MP,Dimensity,5930,6.5 inches,78458,41844,2616,366,1360,2022
Xiaomi,Pad 42GB,510,12,8MP,13MP,Spreadtrum,6521,12.9 inches,15127,8205,564,72,257,2022
Vivo,Find 13GB,239,16,32MP,48MP + 64MP + 48MP,Exynos,6810,6.7 inches,66131,35270,2205,309,1146,2025
Xiaomi,Pad 84GB,510,16,8MP,13MP,MediaTek,5624,10.4 inches,12024,6522,449,57,204,2020
Samsung,Galaxy 49GB,234,4,12MP,200MP + 12MP,MediaTek,3963,7.0 inches,117864,27476,1965,315,1284,2022
Samsung,Galaxy 70GB,234,8,12MP,200MP + 12MP,MediaTek,4868,6.5 inches,111428,25976,1857,297,1214,2020
Infinix,Find 90GB,239,4,32MP,48MP + 64MP + 48MP,MediaTek Dimensity,5800,6.5 inches,76006,40536,2534,355,1317,2022
Infinix,Pad 47GB,510,4,8MP,13MP,Google Tensor,6170,7.0 inches,13718,7440,512,66,233,2021
Huawei,Pad 89GB,510,4,8MP,13MP,Dimensity,7675,10.4 inches,11947,6480,446,57,203,2024
Samsung,Galaxy 92GB,234,16,12MP,200MP + 12MP,Apple A17 pro,4218,6.1 inches,115128,26838,1919,307,1254,2021
OnePlus,Find 25GB,239,16,32MP,48MP + 64MP + 48MP,Dimensity,4418,6.7 inches,67329,35909,2244,315,1167,2021
Samsung,Galaxy 81GB,234,6,12MP,200MP + 12MP,Google Tensor,6111,7.8 inches,106725,24879,1779,285,1162,2025
Xiaomi,Find 63GB,239,8,32MP,48MP + 64MP + 48MP,Dimensity,5469,7.0 inches,77142,41142,2571,360,1338,2024
Nokia,Find 31GB,239,6,32MP,48MP + 64MP + 48MP,Kirin,5719,6.7 inches,74289,39621,2477,347,1288,2024
Oppo,Find 17GB,239,6,32MP,48MP + 64MP + 48MP,Snapdragon,7795,7.8 inches,61514,32808,2051,288,1067,2022
Realme,Find 74GB,239,4,32MP,48MP + 64MP + 48MP,MediaTek Dimensity,4247,6.5 inches,71985,38392,2400,336,1248,2023
Samsung,Find 22GB,239,12,32MP,48MP + 64MP + 48MP,Exynos,4887,7.0 inches,78521,41878,2618,366,1361,2021
Google,Pad 22GB,510,4,8MP,13MP,Unisoc,3885,6.1 inches,14109,7653,526,67,240,2025
Samsung,Galaxy 11GB,234,4,12MP,200MP + 12MP,Dimensity,6999,6.7 inches,109557,25539,1826,292,1193,2022
Samsung,Galaxy 29GB,234,16,12MP,200MP + 12MP,MediaTek,4098,7.0 inches,112346,26190,1872,300,1224,2021
Google,Pad 27GB,510,8,8MP,13MP,Exynos,5896,10.4 inches,11701,6347,437,56,198,2023
Samsung,Galaxy 80GB,234,16,12MP,200MP + 12MP,Qualcomm MSM8916,7026,7.0 inches,111950,26097,1866,299,1219,2025
Samsung,Galaxy 1GB,234,6,12MP,200MP + 12MP,MediaTek,6963,10.4 inches,94909,22125,1582,253,1034,2021
Samsung,Galaxy 24GB,234,12,12MP,200MP + 12MP,Kirin,4809,12.9 inches,103012,24014,1717,275,1122,2023
Huawei,Pad 17GB,510,16,8MP,13MP,Qualcomm Snapdragon,6380,12.9 inches,15024,8148,561,72,255,2022
Samsung,Galaxy 93GB,234,12,12MP,200MP + 12MP,Qualcomm Snapdragon,3692,7.0 inches,107481,25055,1791,287,1170,2021
OnePlus,Find 94GB,239,4,32MP,48MP + 64MP + 48MP,Snapdragon,6965,7.0 inches,67784,36151,2259,317,1175,2023
Motorola,Pad 63GB,510,16,8MP,13MP,Dimensity,3116,6.5 inches,15594,8458,582,74,264,2022
Google,Pad 94GB,510,6,8MP,13MP,Qualcomm MSM8916,4389,12.9 inches,12765,6924,476,61,216,2025
Samsung,Galaxy 41GB,234,8,12MP,200MP + 12MP,Spreadtrum,3213,6.7 inches,95811,22335,1597,256,1044,2020
iQOO,Find 79GB,239,12,32MP,48MP + 64MP + 48MP,Kirin,5720,6.5 inches,65627,35001,2188,306,1138,2021
Nokia,Find 77GB,239,4,32MP,48MP + 64MP + 48MP,MediaTek Dimensity,3917,12.9 inches,79148,42212,2639,369,1372,2021
Samsung,Galaxy 6GB,234,4,12MP,200MP + 12MP,Qualcomm MSM8916,6144,12.9 inches,110360,25727,1839,294,1202,2020
Google,Pad 22GB,510,16,8MP,13MP,Qualcomm Snapdragon,3311,6.1 inches,14229,7718,531,68,242,2022
Xiaomi,Find 61GB,239,16,32MP,48MP + 64MP + 48MP,MediaTek Helio,3352,12.9 inches,62464,33315,2082,292,1083,2023
Lenovo,Find 61GB,239,12,32MP,48MP + 64MP + 48MP,MediaTek Helio,7611,7.0 inches,74792,39889,2493,349,1296,2023
OnePlus,Pad 51GB,510,4,8MP,13MP,Unisoc,4273,7.8 inches,13561,7356,506,65,230,2021
Samsung,Galaxy 18GB,234,16,12MP,200MP + 12MP,MediaTek Helio,5958,6.1 inches,112445,26213,1874,300,1224,2022
Oppo,Pad 42GB,510,12,8MP,13MP,MediaTek,3525,10.4 inches,12312,6678,459,59,209,2021
Lenovo,Pad 41GB,510,12,8MP,13MP,Spreadtrum,7476,12.9 inches,13676,7418,510,65,232,2025
Oppo,Pad 70GB,510,4,8MP,13MP,Qualcomm MSM8916,5938,6.1 inches,13203,7161,492,63,224,2020
Samsung,Galaxy 65GB,234,12,12MP,200MP + 12MP,MediaTek Helio,7023,7.0 inches,95654,22299,1595,255,1042,2024
Samsung,Galaxy 76GB,234,16,12MP,200MP + 12MP,MediaTek Dimensity,5352,6.1 inches,102176,23819,1703,273,1113,2023
POCO,Pad 1GB,510,8,8MP,13MP,Exynos,7293,7.8 inches,11935,6474,445,57,203,2024
Samsung,Galaxy 78GB,234,12,12MP,200MP + 12MP,Unisoc,7585,7.0 inches,103221,24062,1721,276,1124,2024
Google,Pad 1GB,510,16,8MP,13MP,MediaTek,7612,12.9 inches,12616,6843,471,60,214,2025
Samsung,Galaxy 90GB,234,8,12MP,200MP + 12MP,MediaTek,6485,6.5 inches,107518,25064,1792,287,1171,2021
Samsung,Galaxy 80GB,234,16,12MP,200MP + 12MP,Dimensity,4327,7.8 inches,91590,21351,1527,245,998,2020
Samsung,Galaxy 31GB,234,4,12MP,200MP + 12MP,Exynos,4347,6.5 inches,112108,26134,1869,299,1221,2024
Xiaomi,Pad 70GB,510,6,8MP,13MP,Exynos,4000,12.9 inches,15123,8202,564,72,257,2022
Infinix,Find 71GB,239,4,32MP,48MP + 64MP + 48MP,Qualcomm Snapdragon,5772,12.9 inches,66458,35444,2216,310,1152,2020
Samsung,Galaxy 19GB,234,12,12MP,200MP + 12MP,Snapdragon,4440,6.1 inches,102115,23805,1702,273,1112,2020
Tecno,Pad 99GB,510,6,8MP,13MP,MediaTek Dimensity,3961,10.4 inches,13125,7119,489,63,222,2020
Samsung,Galaxy 44GB,234,12,12MP,200MP + 12MP,MediaTek Helio,5830,6.7 inches,111538,26001,1859,297,1215,2025
Samsung,Galaxy 21GB,234,8,12MP,200MP + 12MP,MediaTek,4014,12.9 inches,116247,27099,1938,310,1266,2024
Samsung,Galaxy 15GB,234,12,12MP,200MP + 12MP,Exynos,7884,7.8 inches,94331,21990,1572,252,1028,2025
Xiaomi,Pad 52GB,510,8,8MP,13MP,Snapdragon,4692,12.9 inches,13776,7472,514,66,234,2023
OnePlus,Pad 7GB,510,12,8MP,13MP,MediaTek Helio,6654,12.9 inches,13890,7534,518,66,236,2020
Tecno,Pad 54GB,510,4,8MP,13MP,MediaTek Dimensity,4708,6.5 inches,11584,6283,432,55,197,2022
Infinix,Pad 86GB,510,12,8MP,13MP,Spreadtrum,6976,6.5 inches,14214,7710,530,68,241,2020
Sony,Pad 42GB,510,4,8MP,13MP,Google Tensor,6225,6.7 inches,12807,6946,478,61,217,2024
Vivo,Find 47GB,239,4,32MP,48MP + 64MP + 48MP,MediaTek Dimensity,3482,7.0 inches,68668,36623,2289,321,1191,2021
Samsung,Pad 48GB,510,16,8MP,13MP,Google Tensor,5466,7.0 inches,12521,6791,467,60,213,2022
Lenovo,Find 57GB,239,4,32MP,48MP + 64MP + 48MP,Snapdragon,3769,6.7 inches,72883,38871,2430,340,1263,2024
OnePlus,Pad 39GB,510,4,8MP,13MP,Dimensity,6351,7.0 inches,11999,6508,447,57,204,2025
Samsung,Galaxy 70GB,234,4,12MP,200MP + 12MP,Google Tensor,6046,7.0 inches,104441,24347,1741,279,1137,2024
Tecno,Pad 27GB,510,16,8MP,13MP,Spreadtrum,5823,10.4 inches,14352,7784,535,69,243,2021
Honor,Pad 3GB,510,6,8MP,13MP,Snapdragon,5774,7.0 inches,13056,7081,487,62,222,2021
Nokia,Find 30GB,239,12,32MP,48MP + 64MP + 48MP,Qualcomm MSM8916,3661,7.0 inches,78735,41992,2625,368,1365,2021
Samsung,Galaxy 47GB,234,4,12MP,200MP + 12MP,Google Tensor,7406,6.5 inches,101438,23647,1691,271,1105,2025
Motorola,Find 12GB,239,12,32MP,48MP + 64MP + 48MP,Qualcomm MSM8916,5562,10.4 inches,61335,32712,2045,287,1064,2024
Tecno,Find 84GB,239,12,32MP,48MP + 64MP + 48MP,Google Tensor,5368,6.1 inches,69666,37155,2322,325,1208,2025
Oppo,Find 97GB,239,6,32MP,48MP + 64MP + 48MP,MediaTek Dimensity,4601,6.1 inches,66039,35221,2202,309,1145,2024
Samsung,Galaxy 75GB,234,8,12MP,200MP + 12MP,Dimensity,4725,12.9 inches,106980,24939,1783,285,1165,2021
Vivo,Find 22GB,239,8,32MP,48MP + 64MP + 48MP,MediaTek Helio,5190,10.4 inches,76530,40816,2551,357,1327,2023
Huawei,Find 42GB,239,6,32MP,48MP + 64MP + 48MP,Qualcomm Snapdragon,4826,10.4 inches,76875,41000,2563,359,1333,2021
Infinix,Find 82GB,239,12,32MP,48MP + 64MP + 48MP,Spreadtrum,7361,6.1 inches,61599,32853,2054,288,1068,2021
Vivo,Pad 95GB,510,4,8MP,13MP,Unisoc,4133,10.4 inches,12288,6665,459,59,209,2025
Samsung,Galaxy 6GB,234,4,12MP,200MP + 12MP,Snapdragon,5529,7.8 inches,104037,24252,1734,278,1133,2021
Lenovo,Find 12GB,239,12,32MP,48MP + 64MP + 48MP,MediaTek Dimensity,6724,12.9 inches,77043,41089,2568,360,1335,2025
Lenovo,Find 32GB,239,16,32MP,48MP + 64MP + 48MP,Kirin,7138,10.4 inches,72351,38587,2412,338,1254,2021
Samsung,Galaxy 5GB,234,8,12MP,200MP + 12MP,Qualcomm MSM8916,4953,6.5 inches,90082,21000,1502,240,981,2020
Xiaomi,Find 31GB,239,4,32MP,48MP + 64MP + 48MP,Exynos,5130,6.1 inches,60396,32211,2013,282,1047,2022
Samsung,Galaxy 52GB,234,16,12MP,200MP + 12MP,Exynos,3819,7.0 inches,114689,26736,1911,306,1249,2023
Honor,Find 63GB,239,16,32MP,48MP + 64MP + 48MP,MediaTek Dimensity,5139,10.4 inches,62520,33344,2084,292,1084,2025
Honor,Pad 55GB,510,6,8MP,13MP,Kirin,5293,10.4 inches,14679,7962,548,70,249,2024
Realme,Find 65GB,239,16,32MP,48MP + 64MP + 48MP,MediaTek,5009,6.5 inches,79115,42195,2637,369,1371,2024
Vivo,Find 32GB,239,12,32MP,48MP + 64MP + 48MP,Spreadtrum,3464,6.7 inches,70227,37455,2341,328,1218,2020
Honor,Find 55GB,239,16,32MP,48MP + 64MP + 48MP,Google Tensor,5557,7.0 inches,65589,34981,2187,306,1137,2021
Infinix,Pad 64GB,510,4,8MP,13MP,Spreadtrum,6191,6.1 inches,14384,7802,537,69,244,2020
Samsung,Galaxy 10GB,234,6,12MP,200MP + 12MP,Qualcomm Snapdragon,6897,7.0 inches,113976,26569,1900,304,1241,2024
Samsung,Galaxy 32GB,234,12,12MP,200MP + 12MP,Qualcomm Snapdragon,5148,7.8 inches,111517,25996,1859,297,1215,2020
Samsung,Galaxy 24GB,234,8,12MP,200MP + 12MP,Qualcomm Snapdragon,5711,6.1 inches,104114,24270,1736,278,1134,2024
Oppo,Pad 11GB,510,12,8MP,13MP,Snapdragon,7494,6.7 inches,12330,6687,460,59,209,2022
Sony,Find 5GB,239,6,32MP,48MP + 64MP + 48MP,Kirin,4573,12.9 inches,77516,41342,2584,362,1344,2023
Samsung,Galaxy 66GB,234,6,12MP,200MP + 12MP,Dimensity,3962,6.1 inches,107430,25044,1791,287,1170,2023
POCO,Find 89GB,239,6,32MP,48MP + 64MP + 48MP,Exynos,7214,10.4 inches,65538,34954,2185,306,1136,2021
